# Dirsearch started Thu Nov 10 02:10:26 2022 as: ./dirsearch.py -w /usr/share/wordlists/SecLists/Discovery/Web-Content/raft-medium-words.txt -e php -f -t 50 -u http://metapress.htb/events/ -o /home/kali/HTB/Machines/MetaTwo_NF/recon/events/raft-medium-words.txt

301     0B   http://metapress.htb/events/2012    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2012/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/about-us    -> REDIRECTS TO: http://metapress.htb/about-us/
301     0B   http://metapress.htb/events/about-us/    -> REDIRECTS TO: http://metapress.htb/about-us/
301     0B   http://metapress.htb/events/2005    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2005/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/thank-you    -> REDIRECTS TO: http://metapress.htb/thank-you/
301     0B   http://metapress.htb/events/thank-you/    -> REDIRECTS TO: http://metapress.htb/thank-you/
301     0B   http://metapress.htb/events/atom    -> REDIRECTS TO: http://metapress.htb/events/feed/atom/
301     0B   http://metapress.htb/events/atom/    -> REDIRECTS TO: http://metapress.htb/events/feed/atom/
301     0B   http://metapress.htb/events/15    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/15/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/event    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/event/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/20    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/20/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/13    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/13/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/th    -> REDIRECTS TO: http://metapress.htb/thank-you/
301     0B   http://metapress.htb/events/th/    -> REDIRECTS TO: http://metapress.htb/thank-you/
301     0B   http://metapress.htb/events/01/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/01    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/16    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/16/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/401/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/401    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/14    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/14/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/18    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/18/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2004    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2004/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/17    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/17/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/02    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/02/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/06    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/06/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/21    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/21/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/25    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/25/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/03    -> REDIRECTS TO: http://metapress.htb/events/
